#EXPORTTYPE:DATA SINGLE							
#FILE:A+.ngb-sla							
#FORMAT:NETZSCH5							
#FTYPE:ANSI							
#IDENTITY:A-2+							
#DECIMAL:POINT							
#SEPARATOR:SEMICOLON							
#MTYPE:DIL							
#INSTRUMENT:NETZSCH DIL 402SE							
#PROJECT:1							
#DATE/TIME:10.12.2019 13:35							
#CORR. FILE:							
#TEMPCAL:TCALZERO.TMX							
#LABORATORY:1							
#OPERATOR:1							
#REMARK:							
#SAMPLE:A-2+							
#SAMPLE LENGTH /mm:23.75							
#MATERIAL:							
#MEASMODE:Standard Expansion							
#M.RANGE /¶Ãm:20000							
#CORR. CODE:010							
#RANGE:-110°„C/5.0(K/min)/200°„C							
#SEGMENT:S1/1							
#SEG. 1:-110°„C/5.0(K/min)/200°„C							
							
##Temp./°„C	Time/min	dL/Lo					
-68.7	8.36284	-8.92034E-06					
-68.6	8.38264	-8.78956E-06					
-68.5	8.40246	-8.53994E-06					
-68.4	8.4223	-8.26833E-06					
-68.3	8.44212	-7.98461E-06					
-68.2	8.46196	-7.80402E-06					
-68.1	8.48181	-7.50663E-06					
-68	8.50164	-7.24162E-06					
-67.9	8.52149	-6.98185E-06					
-67.8	8.54134	-6.82646E-06					
-67.7	8.5612	-6.39351E-06					
-67.6	8.58108	-6.21093E-06					
-67.5	8.60096	-6.03089E-06					
-67.4	8.62083	-5.71728E-06					
-67.3	8.64068	-5.40864E-06					
-67.2	8.66053	-5.17395E-06					
-67.1	8.6804	-4.92021E-06					
-67	8.70027	-4.63999E-06					
-66.9	8.72017	-4.30407E-06					
-66.8	8.74004	-3.98972E-06					
-66.7	8.7599	-3.77307E-06					
-66.6	8.77977	-3.50859E-06					
-66.5	8.79963	-3.20108E-06					
-66.4	8.81947	-2.8853E-06					
-66.3	8.83931	-2.66305E-06					
-66.2	8.85918	-2.34413E-06					
-66.1	8.87902	-2.0041E-06					
-66	8.89887	-1.72135E-06					
-65.9	8.91873	-1.43162E-06					
-65.8	8.93856	-1.09748E-06					
-65.7	8.95838	-8.5397E-07					
-65.6	8.9782	-5.29226E-07					
-65.5	8.998	-2.05703E-07					
-65.4	9.01779	9.69794E-08					
-65.3	9.0376	3.96784E-07					
-65.2	9.05741	7.5982E-07					
-65.1	9.07723	1.05503E-06					
-65	9.09702	1.44448E-06					
-64.9	9.11685	1.74068E-06					
-64.8	9.13667	2.02101E-06					
-64.7	9.1565	2.39096E-06					
-64.6	9.17631	2.72513E-06					
-64.5	9.19614	3.06719E-06					
-64.4	9.21597	3.35273E-06					
-64.3	9.23579	3.76909E-06					
-64.2	9.2556	4.08348E-06					
-64.1	9.27542	4.45055E-06					
-64	9.29523	4.77932E-06					
-63.9	9.31505	5.08988E-06					
-63.8	9.33486	5.56096E-06					
-63.7	9.35467	5.85416E-06					
-63.6	9.37448	6.17566E-06					
-63.5	9.39431	6.55387E-06					
-63.4	9.41416	6.96291E-06					
-63.3	9.43398	7.24579E-06					
-63.2	9.45381	7.66871E-06					
-63.1	9.47364	8.06972E-06					
-63	9.49346	8.41374E-06					
-62.9	9.51327	8.75131E-06					
-62.8	9.53307	9.07145E-06					
-62.7	9.5529	9.54263E-06					
-62.6	9.57271	9.90054E-06					
-62.5	9.59254	1.01771E-05					
-62.4	9.61237	1.06338E-05					
-62.3	9.63218	1.11081E-05					
-62.2	9.65201	1.13866E-05					
-62.1	9.67186	1.18062E-05					
-62	9.69169	1.23096E-05					
-61.9	9.71155	1.25742E-05					
-61.8	9.73138	1.29735E-05					
-61.7	9.75122	1.33939E-05					
-61.6	9.77107	1.37601E-05					
-61.5	9.79094	1.42488E-05					
-61.4	9.81078	1.45482E-05					
-61.3	9.83063	1.49808E-05					
-61.2	9.85049	1.54023E-05					
-61.1	9.87034	1.57844E-05					
-61	9.89019	1.61369E-05					
-60.9	9.91003	1.663E-05					
-60.8	9.92992	1.70558E-05					
-60.7	9.94979	1.74112E-05					
-60.6	9.96962	1.78056E-05					
-60.5	9.98945	1.82593E-05					
-60.4	10.0093	1.86628E-05					
-60.3	10.02915	1.89664E-05					
-60.2	10.04902	1.94836E-05					
-60.1	10.06887	1.98994E-05					
-60	10.08871	2.03266E-05					
-59.9	10.10855	2.06817E-05					
-59.8	10.12839	2.11239E-05					
-59.7	10.14825	2.15553E-05					
-59.6	10.1681	2.19756E-05					
-59.5	10.18794	2.23356E-05					
-59.4	10.20778	2.28169E-05					
-59.3	10.22761	2.32887E-05					
-59.2	10.24744	2.36361E-05					
-59.1	10.26725	2.40348E-05					
-59	10.28708	2.4458E-05					
-58.9	10.30691	2.48681E-05					
-58.8	10.32673	2.52906E-05					
-58.7	10.34654	2.57E-05					
-58.6	10.36631	2.61415E-05					
-58.5	10.38614	2.65701E-05					
-58.4	10.40594	2.6992E-05					
-58.3	10.42573	2.73994E-05					
-58.2	10.44552	2.78735E-05					
-58.1	10.4653	2.8238E-05					
-58	10.48509	2.85916E-05					
-57.9	10.50488	2.91046E-05					
-57.8	10.52466	2.95351E-05					
-57.7	10.54445	2.99184E-05					
-57.6	10.56422	3.02722E-05					
-57.5	10.58401	3.07724E-05					
-57.4	10.60379	3.11945E-05					
-57.3	10.62355	3.15806E-05					
-57.2	10.64335	3.20171E-05					
-57.1	10.66313	3.24284E-05					
-57	10.68292	3.29145E-05					
-56.9	10.70272	3.32943E-05					
-56.8	10.72249	3.36964E-05					
-56.7	10.74227	3.41071E-05					
-56.6	10.76206	3.45659E-05					
-56.5	10.78188	3.48665E-05					
-56.4	10.80167	3.53407E-05					
-56.3	10.82146	3.58005E-05					
-56.2	10.84126	3.60782E-05					
-56.1	10.86104	3.65503E-05					
-56	10.88083	3.69589E-05					
-55.9	10.90063	3.74052E-05					
-55.8	10.9204	3.77076E-05					
-55.7	10.9402	3.81611E-05					
-55.6	10.95998	3.86221E-05					
-55.5	10.97977	3.90113E-05					
-55.4	10.99955	3.94159E-05					
-55.3	11.01936	3.97126E-05					
-55.2	11.03917	4.01646E-05					
-55.1	11.05895	4.05288E-05					
-55	11.07877	4.09627E-05					
-54.9	11.09856	4.13576E-05					
-54.8	11.11836	4.18017E-05					
-54.7	11.13819	4.21266E-05					
-54.6	11.15799	4.25415E-05					
-54.5	11.17781	4.28976E-05					
-54.4	11.19761	4.32541E-05					
-54.3	11.21742	4.36644E-05					
-54.2	11.23725	4.39525E-05					
-54.1	11.25706	4.43915E-05					
-54	11.27689	4.47992E-05					
-53.9	11.29672	4.50442E-05					
-53.8	11.31653	4.54898E-05					
-53.7	11.33635	4.5896E-05					
-53.6	11.35617	4.62761E-05					
-53.5	11.37602	4.65328E-05					
-53.4	11.39583	4.69522E-05					
-53.3	11.41563	4.73421E-05					
-53.2	11.43542	4.76864E-05					
-53.1	11.45521	4.80439E-05					
-53	11.475	4.84102E-05					
-52.9	11.49479	4.8795E-05					
-52.8	11.51459	4.91402E-05					
-52.7	11.53437	4.94545E-05					
-52.6	11.55413	4.98161E-05					
-52.5	11.57393	5.0208E-05					
-52.4	11.59368	5.05535E-05					
-52.3	11.61344	5.08381E-05					
-52.2	11.63321	5.1256E-05					
-52.1	11.65296	5.16802E-05					
-52	11.67271	5.18756E-05					
-51.9	11.69245	5.22166E-05					
-51.8	11.71224	5.26373E-05					
-51.7	11.732	5.28873E-05					
-51.6	11.75176	5.33095E-05					
-51.5	11.77151	5.35567E-05					
-51.4	11.79125	5.3988E-05					
-51.3	11.81102	5.43205E-05					
-51.2	11.83079	5.45504E-05					
-51.1	11.85055	5.49757E-05					
-51	11.87032	5.52709E-05					
-50.9	11.89008	5.56264E-05					
-50.8	11.90981	5.58774E-05					
-50.7	11.92955	5.62283E-05					
-50.6	11.94928	5.6611E-05					
-50.5	11.96905	5.69278E-05					
-50.4	11.9888	5.72105E-05					
-50.3	12.00858	5.75408E-05					
-50.2	12.02836	5.7876E-05					
-50.1	12.04811	5.81354E-05					
-50	12.06789	5.85048E-05					
-49.9	12.08764	5.87781E-05					
-49.8	12.10744	5.90914E-05					
-49.7	12.12715	5.93715E-05					
-49.6	12.14691	5.96407E-05					
-49.5	12.16665	5.99841E-05					
-49.4	12.1864	6.02736E-05					
-49.3	12.20615	6.05291E-05					
-49.2	12.2259	6.08136E-05					
-49.1	12.24562	6.12156E-05					
-49	12.26537	6.14499E-05					
-48.9	12.28512	6.17052E-05					
-48.8	12.30488	6.20263E-05					
-48.7	12.32463	6.23141E-05					
-48.6	12.34441	6.25739E-05					
-48.5	12.3642	6.28482E-05					
-48.4	12.38394	6.29432E-05					
-48.3	12.40369	6.3245E-05					
-48.2	12.42344	6.34227E-05					
-48.1	12.4432	6.35543E-05					
-48	12.46298	6.4016E-05					
-47.9	12.48273	6.42976E-05					
-47.8	12.50251	6.4474E-05					
-47.7	12.52225	6.47385E-05					
-47.6	12.54204	6.50935E-05					
-47.5	12.56182	6.53116E-05					
-47.4	12.5816	6.55352E-05					
-47.3	12.60139	6.59034E-05					
-47.2	12.62117	6.60968E-05					
-47.1	12.64096	6.64163E-05					
-47	12.66077	6.66193E-05					
-46.9	12.68055	6.69286E-05					
-46.8	12.70034	6.71866E-05					
-46.7	12.72013	6.73945E-05					
-46.6	12.73993	6.77163E-05					
-46.5	12.75969	6.80303E-05					
-46.4	12.77949	6.82631E-05					
-46.3	12.79931	6.83324E-05					
-46.2	12.8191	6.8659E-05					
-46.1	12.8389	6.88847E-05					
-46	12.8587	6.9065E-05					
-45.9	12.8785	6.92634E-05					
-45.8	12.89832	6.95294E-05					
-45.7	12.91813	6.97447E-05					
-45.6	12.93793	6.99209E-05					
-45.5	12.95774	7.01763E-05					
-45.4	12.97753	7.03565E-05					
-45.3	12.99734	7.06842E-05					
-45.2	13.01716	7.07902E-05					
-45.1	13.03698	7.10137E-05					
-45	13.05679	7.12882E-05					
-44.9	13.07661	7.14583E-05					
-44.8	13.09644	7.17096E-05					
-44.7	13.11628	7.18683E-05					
-44.6	13.13612	7.21666E-05					
-44.5	13.15594	7.22896E-05					
-44.4	13.17577	7.25131E-05					
-44.3	13.19556	7.26777E-05					
-44.2	13.21534	7.29589E-05					
-44.1	13.23516	7.31535E-05					
-44	13.25497	7.32603E-05					
-43.9	13.27476	7.35024E-05					
-43.8	13.29454	7.365E-05					
-43.7	13.31434	7.38666E-05					
-43.6	13.33412	7.39959E-05					
-43.5	13.3539	7.42549E-05					
-43.4	13.37367	7.44231E-05					
