#EXPORTTYPE:DATA SINGLE						
#FILE:B&D.ngb-sla						
#FORMAT:NETZSCH5						
#FTYPE:ANSI						
#IDENTITY:D						
#DECIMAL:POINT						
#SEPARATOR:SEMICOLON						
#MTYPE:DIL						
#INSTRUMENT:NETZSCH DIL 402SE						
#PROJECT:1						
#DATE/TIME:10.12.2019 16:07						
#CORR. FILE:						
#TEMPCAL:TCALZERO.TMX						
#LABORATORY:1						
#OPERATOR:1						
#REMARK:						
#SAMPLE:D						
#SAMPLE LENGTH /mm:9.91						
#MATERIAL:Ã’¥…						
#MEASMODE:Standard Expansion						
#M.RANGE /¶Ãm:20000						
#CORR. CODE:010						
#RANGE:-110°„C/5.0(K/min)/200°„C						
#SEGMENT:S1/1						
#SEG. 1:-110°„C/5.0(K/min)/200°„C						
						
##Temp./°„C	Time/min	dL/Lo				
-41	13.84492	0.000689545				
-40.9	13.86477	0.000690954				
-40.8	13.88467	0.000692062				
-40.7	13.90453	0.000693637				
-40.6	13.92439	0.000694593				
-40.5	13.94424	0.000695979				
-40.4	13.96411	0.00069734				
-40.3	13.98397	0.000698532				
-40.2	14.00385	0.000699895				
-40.1	14.02374	0.000701175				
-40	14.04362	0.000702473				
-39.9	14.06349	0.000703696				
-39.8	14.08337	0.000704945				
-39.7	14.10326	0.00070628				
-39.6	14.12313	0.000707424				
-39.5	14.14301	0.000708866				
-39.4	14.1629	0.000709925				
-39.3	14.18277	0.000711477				
-39.2	14.20265	0.000712531				
-39.1	14.22254	0.000713819				
-39	14.24242	0.000715241				
-38.9	14.2623	0.000716406				
-38.8	14.28217	0.000717763				
-38.7	14.30204	0.000718988				
-38.6	14.32191	0.000720188				
-38.5	14.34176	0.000721467				
-38.4	14.36164	0.000722838				
-38.3	14.38152	0.000723972				
-38.2	14.4014	0.00072552				
-38.1	14.42126	0.00072675				
-38	14.44113	0.00072818				
-37.9	14.46098	0.000729293				
-37.8	14.48083	0.000730851				
-37.7	14.5007	0.000732027				
-37.6	14.52055	0.000733526				
-37.5	14.54043	0.000734772				
-37.4	14.56029	0.000735999				
-37.3	14.58016	0.000737639				
-37.2	14.60004	0.000738663				
-37.1	14.6199	0.000740102				
-37	14.63978	0.000741528				
-36.9	14.65966	0.000742692				
-36.8	14.67955	0.000744099				
-36.7	14.69946	0.000745312				
-36.6	14.71935	0.000746775				
-36.5	14.73925	0.000747925				
-36.4	14.75917	0.000749355				
-36.3	14.77906	0.000750589				
-36.2	14.79893	0.000752126				
-36.1	14.8188	0.000753441				
-36	14.83869	0.000754715				
-35.9	14.85859	0.000755938				
-35.8	14.87848	0.000757372				
-35.7	14.89835	0.000758797				
-35.6	14.91822	0.000760048				
-35.5	14.93811	0.000761428				
-35.4	14.95799	0.000762696				
-35.3	14.97787	0.000764138				
-35.2	14.99776	0.000765337				
-35.1	15.01765	0.000766871				
-35	15.03753	0.000768198				
-34.9	15.05741	0.000769424				
-34.8	15.07731	0.000770981				
-34.7	15.09717	0.000772047				
-34.6	15.11704	0.000773577				
-34.5	15.1369	0.000774853				
-34.4	15.15679	0.00077621				
-34.3	15.17666	0.000777276				
-34.2	15.19652	0.000778879				
-34.1	15.21645	0.00078014				
-34	15.23634	0.000781371				
-33.9	15.25622	0.000782847				
-33.8	15.27606	0.00078421				
-33.7	15.29595	0.000785625				
-33.6	15.31586	0.000786619				
-33.5	15.33576	0.000788231				
-33.4	15.35561	0.000789485				
-33.3	15.3755	0.000790833				
-33.2	15.39539	0.000792112				
-33.1	15.41525	0.000793605				
-33	15.43514	0.000794857				
-32.9	15.45503	0.000796011				
-32.8	15.47491	0.000797539				
-32.7	15.49478	0.000798604				
-32.6	15.51468	0.00080013				
-32.5	15.53456	0.000801387				
-32.4	15.55446	0.000802711				
-32.3	15.57433	0.000804172				
-32.2	15.5942	0.000805435				
-32.1	15.6141	0.000806746				
-32	15.63398	0.000808121				
-31.9	15.65391	0.000809417				
-31.8	15.6738	0.000810737				
-31.7	15.69372	0.000812195				
-31.6	15.71361	0.000813521				
